walk,l1,l2,x0
650,68,68.000000,-68
651,70,70.000000,-70
652,162,162.000000,162
653,16,16.000000,16
654,14,14.000000,14
655,176,176.000000,176
656,84,84.000000,-84
657,22,22.000000,22
658,104,104.000000,-104
659,154,154.000000,154
660,38,38.000000,-38
661,116,116.000000,-116
662,118,118.000000,-118
663,100,100.000000,-100
664,68,68.000000,68
665,138,138.000000,138
666,154,154.000000,154
667,78,78.000000,-78
668,36,36.000000,36
669,24,24.000000,24
670,226,226.000000,226
671,18,18.000000,18
672,76,76.000000,76
673,80,80.000000,80
674,260,260.000000,260
675,28,28.000000,28
676,70,70.000000,70
677,30,30.000000,-30
678,160,160.000000,-160
679,50,50.000000,50
680,78,78.000000,78
681,138,138.000000,-138
682,22,22.000000,22
683,56,56.000000,56
684,8,8.000000,-8
685,182,182.000000,182
686,104,104.000000,104
687,124,124.000000,-124
688,16,16.000000,16
689,60,60.000000,-60
690,36,36.000000,-36
691,16,16.000000,-16
692,70,70.000000,-70
693,86,86.000000,86
694,162,162.000000,-162
695,82,82.000000,-82
696,2,2.000000,-2
697,16,16.000000,-16
698,60,60.000000,60
699,84,84.000000,-84
700,2,2.000000,2
701,44,44.000000,-44
702,84,84.000000,84
703,106,106.000000,-106
704,186,186.000000,-186
705,20,20.000000,-20
706,58,58.000000,-58
707,24,24.000000,-24
708,120,120.000000,120
709,80,80.000000,-80
710,24,24.000000,-24
711,36,36.000000,36
712,2,2.000000,2
713,78,78.000000,-78
714,188,188.000000,-188
715,86,86.000000,86
716,82,82.000000,-82
717,4,4.000000,4
718,100,100.000000,100
719,16,16.000000,-16
720,12,12.000000,12
721,0,0.000000,0
722,30,30.000000,30
723,74,74.000000,74
724,16,16.000000,16
725,90,90.000000,-90
726,98,98.000000,98
727,40,40.000000,40
728,82,82.000000,-82
729,94,94.000000,-94
730,36,36.000000,36
731,150,150.000000,150
732,168,168.000000,168
733,64,64.000000,-64
734,70,70.000000,70
735,164,164.000000,-164
736,114,114.000000,114
737,36,36.000000,36
738,36,36.000000,36
739,112,112.000000,-112
740,90,90.000000,90
741,46,46.000000,46
742,154,154.000000,-154
743,54,54.000000,54
744,114,114.000000,-114
745,20,20.000000,20
746,34,34.000000,-34
747,100,100.000000,100
748,66,66.000000,66
749,56,56.000000,56
750,82,82.000000,82
751,56,56.000000,56
752,38,38.000000,-38
753,132,132.000000,-132
754,10,10.000000,-10
755,6,6.000000,-6
756,92,92.000000,92
757,148,148.000000,-148
758,104,104.000000,104
759,88,88.000000,88
760,134,134.000000,134
761,166,166.000000,166
762,44,44.000000,-44
763,6,6.000000,-6
764,56,56.000000,56
765,12,12.000000,12
766,14,14.000000,14
767,170,170.000000,170
768,122,122.000000,-122
769,140,140.000000,140
770,12,12.000000,12
771,14,14.000000,-14
772,114,114.000000,-114
773,76,76.000000,76
774,124,124.000000,-124
775,78,78.000000,-78
776,0,0.000000,0
777,130,130.000000,-130
778,14,14.000000,-14
779,160,160.000000,-160
780,40,40.000000,40
781,56,56.000000,-56
782,208,208.000000,-208
783,66,66.000000,66
784,50,50.000000,50
785,52,52.000000,52
786,36,36.000000,36
