walk,sec0,sec1,sec2,sec3
243,70287,25379,0,3693
244,8669,30870,9783,50361
245,19681,10893,24918,43742
246,1056,55646,70,42473
247,38752,28516,30978,680
248,14757,5827,53788,24706
249,89718,32,9722,11
250,5119,60380,22027,12259
251,604,67651,9628,21924
252,18900,76750,3730,4
253,26944,14,72882,3
254,12524,76912,4052,5848
255,8216,75640,9873,5517
256,15989,11509,55767,15754
257,16741,15707,10515,55866
258,3913,66,25976,69635
259,39750,10,54784,5267
260,341,67908,71,30876
261,27,88518,8,10946
262,7688,30198,33353,27920
263,22,9709,4969,84975
264,6576,68393,6286,18258
265,20,32932,18063,48444
266,73784,24582,495,682
267,11545,75960,11340,650
268,19591,71583,8503,21
269,70143,3,26560,3208
270,2009,93293,168,4097
271,51317,46562,1495,147
272,30269,41411,12636,15214
273,29,173,22123,77062
274,10824,84507,0,4138
275,4378,46198,4515,43930
276,3466,27248,11471,57011
277,68,6876,21425,71059
278,2,1086,93379,5398
279,13339,0,80164,6022
280,396,96397,1,2994
281,21776,74000,3867,3
282,38700,6182,48099,6254
283,52220,12184,34916,2
284,0,14015,11400,74180
285,67521,26848,213,5126
286,62839,36361,38,71
287,13374,207,78272,7591
288,43144,318,53757,2285
289,0,4266,0,95447
290,53608,27189,15125,3058
291,3090,93624,1112,1823
292,5862,88925,3626,1046
293,27,68307,3002,28238
294,42,1877,0,98046
295,15558,128,79760,4288
296,1,99163,1,778
297,151,7340,24103,67867
298,51,11,24268,74944
299,23042,71356,1582,3211
300,7699,87294,0,4641
301,0,15127,57138,27454
302,0,84391,23,15514
303,1300,137,93485,4841
304,27187,1,72212,177
305,11434,38543,17206,32232
306,54625,23662,3665,17238
307,2160,3278,123,94304
308,322,10855,172,88375
309,1706,62,98153,0
310,7,1,22299,77576
311,75944,41,20000,3572
312,94,47,99040,665
313,27,919,45695,52593
314,5631,88107,20,5922
315,1,69804,0,29598
316,78192,36,13511,7920
317,2796,17545,67474,11404
318,7483,1043,91087,160
319,11,0,79868,19701
320,1022,68783,662,28890
321,189,99621,122,4
322,3172,1096,35709,59118
323,10450,15983,65572,7563
324,13652,0,85814,266
325,60635,15679,21900,1473
326,8287,64015,23882,3362
327,1381,15495,61777,20830
328,639,41671,14724,42298
329,189,2698,54873,41523
330,68839,251,30273,32
331,39277,2098,46550,11434
332,1146,616,11776,86264
333,89392,0,10366,1
334,6147,79233,2806,11157
335,19832,25565,159,53924
336,79783,200,19308,142
337,35302,44123,10306,9266
338,21543,87,56139,21790
339,510,89421,1254,8539
340,6660,8658,7030,77196
341,7322,22057,14447,55690
342,2083,28849,20050,48329
343,95,52231,259,47059
344,55,409,441,99017
345,92952,1665,4928,162
346,2123,65609,321,31292
347,6904,12591,69415,10301
348,10,974,66180,32648
349,11048,782,87728,51
350,6,9459,29448,61049
351,82175,14518,2867,111
352,4214,90913,150,4277
353,4388,14445,63864,16826
354,377,0,25753,73484
355,2,217,955,98751
356,9377,37474,23397,28909
357,2873,202,96798,59
358,6742,85582,16,7334
359,16256,47385,29543,6015
360,4669,38005,6063,50812
361,14257,85452,56,0
362,51298,38789,2348,6944
363,5481,63297,6291,24592
364,95589,4317,8,20
365,88945,10925,0,0
366,2073,41861,7219,47967
367,43,90344,1107,8013
368,2947,66865,2091,27496
369,12684,8698,63159,14693
370,48,62025,0,37750
371,90748,8529,407,1
372,71052,28545,0,0
373,19454,66653,12508,742
374,54391,21706,17738,5550
375,0,345,8241,91014
376,93006,2151,4614,29
377,9049,69628,489,20200
378,554,89056,2069,7794
379,12026,83453,2599,1308
380,8962,7940,50420,31495
381,276,118,67621,31601
382,30335,5171,55039,9008
383,13868,84672,63,996
384,82865,16298,683,2
385,73633,6166,18427,1171
386,60908,7271,28923,2260
387,404,3282,12907,82796
388,2300,6831,90169,482
389,9655,253,88903,999
390,23757,782,38512,36443
391,581,2979,10405,85657
392,9832,69544,18939,1204
393,583,448,60650,37764
394,1672,91916,1510,4667
395,0,70255,10002,19636
396,98802,363,609,19
397,3183,6854,55805,33524
398,23911,47881,8787,18916
399,809,60441,25,38288
400,49895,49384,0,100
401,18116,80150,216,995
402,10391,8045,67969,13031
403,13911,173,85434,16
404,60938,7,38659,18
405,0,33605,16482,49457
406,13,4880,133,94680
407,5944,93739,39,0
408,17890,746,19117,61642
409,78985,46,20864,0
410,30,26836,8927,63782
411,38444,21536,34207,5384
412,27716,70731,1187,52
413,1,0,1411,98459
414,13261,82094,1313,2892
415,7142,0,63467,28671
416,91586,5523,2482,30
417,18023,11324,68769,1485
418,88063,9922,917,701
419,20567,70179,7827,967
420,78779,14560,814,5579
421,24664,30400,12281,31767
422,189,1,64344,35347
423,652,61901,16,37228
424,24638,42632,24641,6951
425,70074,29390,57,98
426,13664,2056,70098,13712
427,82308,3,17437,0
428,4729,91087,524,3096
429,1546,8107,76788,13172
430,12834,80949,66,5540
431,35259,6393,54911,2629
432,580,89419,70,9361
433,41546,2374,44678,11084
434,64,63,59196,40280
435,46756,18327,16524,17653
436,2,43175,0,56745
437,15982,20963,3,62638
438,9952,26188,274,63234
439,23129,12393,24233,39511
440,44325,9393,40501,5016
441,910,3344,7050,88530
442,37452,1169,61211,0
443,30796,1030,57715,9939
444,9195,74138,3874,12583
445,5273,63,93596,991
446,847,21671,23362,53144
447,739,68275,3896,26647
448,2697,6918,45048,45080
449,11117,20539,29007,38053
450,20878,117,73930,4211
451,11972,87125,145,427
452,0,33,66429,33243
453,18228,39618,21303,19638
454,26155,48994,2624,21984
455,1055,3219,52324,42900
456,341,21539,11465,65842
457,78540,72,20865,5
458,48648,31021,10353,8932
459,67621,5547,17468,8198
460,4826,17669,9757,67092
461,27876,32807,15320,23624
462,6161,88811,1580,3004
463,4659,1393,93821,4
464,90615,8693,270,59
465,9347,245,89698,432
466,266,87252,0,12232
467,48594,851,32148,17728
468,324,2,43414,56064
469,3466,26360,23093,46069
470,70239,40,28876,3
471,0,6656,0,93229
472,54107,5382,33572,6459
473,1825,97123,430,426
474,87844,1581,8772,1116
475,3113,52899,12720,30473
476,824,41848,1,56928
477,780,0,66962,31685
478,19249,1073,34598,44470
479,13724,3720,59419,22400
480,58884,860,38393,1346
481,19,3665,83201,12622
482,4854,9191,67455,17845
483,6830,20046,51155,21270
484,11535,43123,26367,18008
485,10988,4,88659,10
486,56439,1,43097,138
487,24898,43810,241,30535
488,91181,7400,870,229
489,56485,7778,34221,856
490,24912,17926,29677,26466
491,22215,108,51764,25354
492,2,57597,273,41726
493,2809,27965,11233,57056
494,28780,29155,7246,33453
495,39667,1575,40659,17397
496,81138,15944,700,1771
497,48788,38,49677,799
498,647,4962,2584,91485
499,19036,9561,41139,29522
500,5915,3350,5204,85000
501,0,43234,1090,55160
502,2183,12381,55082,30034
503,3607,71329,3355,21459
504,74698,20930,2026,1686
505,585,99172,90,45
506,1554,6882,2786,88568
507,65894,12732,19342,1535
508,83072,11740,4921,73
509,26540,13356,52251,6727
510,28,62568,1473,35568
511,1260,1318,56856,40289
512,24608,30056,44605,57
513,1834,98050,0,1
514,4805,72332,14,22326
515,11786,51804,10179,25629
516,49,23,52871,46750
517,0,7862,59820,31852
518,14996,47626,28875,7897
519,27801,26299,11329,33071
520,932,2097,19796,76891
521,0,0,43571,55770
522,3689,20323,49958,25338
523,4532,28454,16003,50358
524,1,16559,241,82742
525,20438,72,79167,42
526,26384,6451,44994,21321
527,9412,77926,6154,6123
528,13678,3527,50224,31224
529,445,94423,0,4987
530,41785,50571,743,5678
531,10911,8923,46277,32892
532,6002,51878,3871,37787
533,2923,90682,249,5924
534,39347,65,60190,43
535,990,1,68368,29970
536,3500,93201,412,2547
537,2,93392,0,6219
538,38037,13697,26780,20516
539,23664,2124,73892,0
540,56950,35835,979,5737
541,82683,14386,2319,131
542,49703,32328,16726,571
543,24166,61320,2589,11163
544,2611,9,89919,7052
545,2085,64796,1908,30872
546,185,18348,14758,66169
547,20195,70204,8127,1014
548,52595,3582,29295,13697
549,40665,57614,1168,84
550,43458,39288,12625,3565
551,48396,36513,6531,7763
552,75469,5443,11618,6911
553,31831,53161,14252,288
554,37239,14332,34523,13097
555,30372,42531,26306,263
556,63166,34549,1773,55
557,41553,173,28881,29196
558,41,1563,4958,93134
559,2016,1504,71228,24762
560,17877,70980,182,10347
561,234,62,7530,92024
562,0,84427,1655,13696
563,50798,32822,11556,3930
564,56465,1,42641,0
565,12083,55495,1329,29922
566,546,1994,58158,38796
567,36601,2170,5763,55351
568,1468,21656,1357,74946
569,7342,1105,81314,9897
570,44192,258,38989,15920
571,928,5855,10179,82633
572,42266,57533,1,0
573,98407,778,565,0
574,5900,1355,29307,62564
575,442,2747,90044,6438
576,56703,31423,7504,3742
577,16274,20653,25619,36832
578,65388,3815,30263,1
579,31559,3972,61444,2386
580,71719,27510,16,476
581,27010,122,62452,10121
582,480,1685,6235,91393
583,47,11586,535,87288
584,172,375,84555,14604
585,9290,5748,28044,56111
586,3253,66490,379,29394
587,1758,11641,838,85382
588,1194,5,95191,3474
589,21172,9248,55803,12890
590,478,842,83019,15136
591,4765,1057,93780,219
592,7830,79682,38,12028
593,6171,3541,3619,86371
594,13068,77378,1207,8020
595,13576,4290,80845,1038
596,6414,90955,28,2260
597,61659,2797,30898,4024
598,21845,68346,1564,7899
599,379,270,98020,1191
600,64469,34609,522,0
601,73546,3009,21694,1231
602,66290,32609,747,9
603,4818,18087,27342,48782
604,69,22764,5300,70894
605,0,58820,65,40580
606,404,137,58079,41177
607,26038,2976,68693,1879
608,116,11644,14810,72986
609,77651,21640,179,1
610,1260,2,86048,12473
611,864,811,4820,93271
612,1567,2,35057,63129
613,0,29625,58,70091
614,45057,54450,17,162
615,15318,14049,55005,14444
616,994,17799,1564,79095
617,14026,54083,4786,26356
618,17583,22207,3906,55876
619,63310,36360,0,12
620,31709,55771,6752,5318
621,27256,118,71312,955
622,11458,4344,45358,37959
623,10639,44446,7272,36815
624,112,2426,77,97293
625,0,11539,51484,36511
626,93943,5665,145,2
627,27915,38025,15513,17797
628,5579,2191,82559,9041
629,48492,50835,0,117
630,0,11906,12,87819
631,431,53007,7,45958
632,11199,36,13853,74683
633,21254,51916,213,26045
634,1108,76957,1,21365
635,43491,604,49529,6022
636,5184,94648,3,5
637,24221,34334,26093,14688
638,84062,3694,10986,615
639,23660,56129,19636,2
640,20401,66982,10665,1372
641,24017,19988,17712,37164
642,32847,24345,4057,38304
643,35143,59970,3123,1536
644,1113,32984,3190,62417
645,136,2868,11881,84927
646,101,4824,2884,91772
647,12905,34,82933,3488
648,9389,28818,27374,33301
649,24345,711,74812,94
650,3099,12,95141,1349
651,67654,20574,10971,390
652,87924,3677,6299,1662
653,22995,31231,25324,19025
654,40828,57758,98,983
655,116,6475,8379,84812
656,980,1520,75514,21228
657,69,1414,12404,85502
658,7,6,49203,49916
659,103,19024,2410,77982
660,14,808,2873,96000
661,96234,3479,7,155
662,47998,9562,31926,9735
663,25358,41989,12700,19199
664,93711,2,6090,1
665,5539,88388,14,5595
666,2688,4717,10458,81864
667,200,96275,9,3368
668,338,41036,721,57534
669,1624,98195,15,64
670,59032,2334,32479,5747
671,408,24897,4409,69771
672,845,5452,449,93205
673,99665,232,45,0
674,28794,67787,273,2344
675,22096,71363,2031,4138
676,45272,213,52065,1834
677,18135,53881,1054,26078
678,146,5014,7712,86816
679,60849,57,35026,3442
680,311,9511,67036,22781
681,53908,26936,0,18550
682,83,266,95669,3780
683,846,32147,27130,39333
684,58204,40972,15,274
685,10246,4906,13085,71198
686,51373,727,43038,4508
687,62,1,95585,4245
688,2590,11625,43443,41520
689,3379,994,93168,2239
690,5918,37944,6859,48783
691,27285,49620,15095,7668
692,16,2,96589,3184
693,3890,3407,55096,37137
694,64448,7126,22212,5446
695,1105,80498,3616,14291
696,5677,373,24871,68788
697,79382,0,20303,23
698,8709,20,85720,5378
699,86777,6349,5611,966
700,908,3,34858,63990
701,8902,5443,83279,2032
702,43947,54840,3,327
703,70645,6605,1066,21204
704,22908,22443,10666,43358
705,46045,4212,42166,6769
706,545,12917,12473,73271
707,52946,36766,4145,5391
708,16582,3279,35958,43599
709,2577,71096,7283,18416
710,1210,89,3077,95232
711,25954,54612,2127,16641
712,0,0,44386,55302
713,17443,4126,76005,2079
714,1010,65090,104,33013
715,53412,133,46095,84
716,22091,76900,85,315
717,15105,6378,78164,68
718,822,4944,14461,79139
719,2992,1345,13508,81775
720,41326,10600,25147,22033
721,757,3242,17095,78331
722,1,9227,122,90528
723,86291,11470,792,1271
724,2643,1850,84768,10314
725,3978,3263,26606,65755
726,3953,730,30342,64180
727,78844,20883,0,1
728,475,1048,64121,33836
729,78348,2948,17093,982
730,46499,7841,42035,3043
731,2370,47205,40,50163
732,30,99087,0,824
733,754,330,73637,24861
734,20298,23563,50735,4669
735,40847,10324,22384,25475
736,18723,0,31086,49774
737,69662,26660,2434,299
738,69277,0,30479,2
739,98821,525,527,1
740,4659,74394,3917,16647
741,4533,7463,36208,51074
742,12914,59632,21470,5469
743,43577,24687,5627,25264
744,87146,208,12211,0
745,98056,2,1427,379
746,11004,73,85690,2655
