walk,n_minus,n_zero,n_plus,m_over_n
444,361,28,9611,0.9625000000
445,2498,128,7374,0.7438000000
446,34,27,9939,0.9952500000
447,6266,62,3672,0.6297000000
448,9988,1,11,0.9988500000
449,5366,124,4510,0.5428000000
450,4024,81,5895,0.5935500000
451,8065,75,1860,0.8102500000
452,2753,83,7164,0.7205500000
453,5787,115,4098,0.5844500000
454,767,102,9131,0.9182000000
455,7845,82,2073,0.7886000000
456,7581,154,2265,0.7658000000
457,4611,79,5310,0.5349500000
458,199,49,9752,0.9776500000
459,7154,84,2762,0.7196000000
460,5044,95,4861,0.5091500000
461,3450,199,6351,0.6450500000
462,156,36,9808,0.9826000000
463,7300,35,2665,0.7317500000
464,7537,84,2379,0.7579000000
465,8681,30,1289,0.8696000000
466,8677,85,1238,0.8719500000
467,5987,95,3918,0.6034500000
468,4735,48,5217,0.5241000000
469,719,40,9241,0.9261000000
470,8552,29,1419,0.8566500000
471,291,23,9686,0.9697500000
472,6466,166,3368,0.6549000000
473,10000,0,0,1.0000000000
474,3335,191,6474,0.6569500000
475,8444,61,1495,0.8474500000
476,6145,122,3733,0.6206000000
477,4896,74,5030,0.5067000000
478,3466,95,6439,0.6486500000
479,6491,63,3446,0.6522500000
480,652,59,9289,0.9318500000
481,9371,90,539,0.9416000000
482,140,34,9826,0.9843000000
483,5455,121,4424,0.5515500000
484,261,65,9674,0.9706500000
485,205,69,9726,0.9760500000
486,2495,123,7382,0.7443500000
487,9241,3,756,0.9242500000
488,7749,98,2153,0.7798000000
489,9962,26,12,0.9975000000
490,8312,119,1569,0.8371500000
491,7382,172,2446,0.7468000000
492,1853,65,8082,0.8114500000
493,145,13,9842,0.9848500000
494,55,22,9923,0.9934000000
495,4124,172,5704,0.5790000000
496,9581,82,337,0.9622000000
497,9956,17,27,0.9964500000
498,2254,98,7648,0.7697000000
499,1542,76,8382,0.8420000000
500,5502,17,4481,0.5510500000
501,639,59,9302,0.9331500000
502,8167,117,1716,0.8225500000
503,32,16,9952,0.9960000000
504,9070,71,859,0.9105500000
505,9808,29,163,0.9822500000
506,958,127,8915,0.8978500000
507,9926,11,63,0.9931500000
508,8829,37,1134,0.8847500000
509,9891,20,89,0.9901000000
510,9994,2,4,0.9995000000
511,2,3,9995,0.9996500000
512,2355,100,7545,0.7595000000
513,9332,57,611,0.9360500000
514,9765,35,200,0.9782500000
515,34,14,9952,0.9959000000
516,9401,64,535,0.9433000000
517,3009,165,6826,0.6908500000
518,5833,140,4027,0.5903000000
519,8674,46,1280,0.8697000000
520,5619,49,4332,0.5643500000
521,9335,93,572,0.9381500000
522,1051,12,8937,0.8943000000
523,5231,259,4510,0.5360500000
524,609,65,9326,0.9358500000
525,7331,180,2489,0.7421000000
526,6416,122,3462,0.6477000000
527,9852,30,118,0.9867000000
528,8779,27,1194,0.8792500000
529,997,75,8928,0.8965500000
530,102,33,9865,0.9881500000
531,9374,24,602,0.9386000000
532,9880,25,95,0.9892500000
533,9735,28,237,0.9749000000
534,8918,104,978,0.8970000000
535,9935,21,44,0.9945500000
536,9840,5,155,0.9842500000
537,52,7,9941,0.9944500000
538,97,29,9874,0.9888500000
539,8256,62,1682,0.8287000000
540,4261,147,5592,0.5665500000
541,8098,183,1719,0.8189500000
542,1298,137,8565,0.8633500000
543,8387,94,1519,0.8434000000
544,5254,102,4644,0.5305000000
545,9187,14,799,0.9194000000
546,9763,33,204,0.9779500000
547,2568,95,7337,0.7384500000
548,3413,78,6509,0.6548000000
549,1953,141,7906,0.7976500000
550,679,69,9252,0.9286500000
551,1155,176,8669,0.8757000000
552,2138,42,7820,0.7841000000
553,1132,103,8765,0.8816500000
554,8804,59,1137,0.8833500000
555,5785,165,4050,0.5867500000
556,386,26,9588,0.9601000000
557,8994,83,923,0.9035500000
558,13,17,9970,0.9978500000
559,4702,69,5229,0.5263500000
560,8169,23,1808,0.8180500000
561,3608,110,6282,0.6337000000
562,223,58,9719,0.9748000000
563,20,8,9972,0.9976000000
564,389,27,9584,0.9597500000
565,1549,35,8416,0.8433500000
566,9611,20,369,0.9621000000
567,7707,203,2090,0.7808500000
568,2119,40,7841,0.7861000000
569,1,3,9996,0.9997500000
570,52,9,9939,0.9943500000
571,51,24,9925,0.9937000000
572,1555,159,8286,0.8365500000
573,2071,43,7886,0.7907500000
574,8656,39,1305,0.8675500000
575,465,80,9455,0.9495000000
576,9954,8,38,0.9958000000
577,2323,55,7622,0.7649500000
578,9927,26,47,0.9940000000
579,9618,65,317,0.9650500000
580,7787,243,1970,0.7908500000
581,6905,91,3004,0.6950500000
582,6444,51,3505,0.6469500000
583,9471,26,503,0.9484000000
584,5971,86,3943,0.6014000000
585,9914,14,72,0.9921000000
586,9536,44,420,0.9558000000
587,1193,11,8796,0.8801500000
588,7436,122,2442,0.7497000000
589,1137,83,8780,0.8821500000
590,550,103,9347,0.9398500000
591,5760,91,4149,0.5805500000
592,8488,35,1477,0.8505500000
593,9423,105,472,0.9475500000
594,7902,30,2068,0.7917000000
595,7583,85,2332,0.7625500000
596,8709,181,1110,0.8799500000
597,9991,4,5,0.9993000000
598,1819,144,8037,0.8109000000
599,8078,93,1829,0.8124500000
600,729,80,9191,0.9231000000
601,517,85,9398,0.9440500000
602,1598,76,8326,0.8364000000
603,9998,1,1,0.9998500000
604,3716,43,6241,0.6262500000
605,4474,82,5444,0.5485000000
606,9870,14,116,0.9877000000
607,5315,47,4638,0.5338500000
608,9654,29,317,0.9668500000
609,9975,12,13,0.9981000000
610,8671,66,1263,0.8704000000
611,9998,1,1,0.9998500000
612,8809,156,1035,0.8887000000
613,1191,124,8685,0.8747000000
614,2478,144,7378,0.7450000000
615,9847,40,113,0.9867000000
616,9124,92,784,0.9170000000
617,8143,100,1757,0.8193000000
618,9192,82,726,0.9233000000
619,296,9,9695,0.9699500000
620,4,5,9991,0.9993500000
621,4690,88,5222,0.5266000000
622,4393,102,5505,0.5556000000
623,6439,64,3497,0.6471000000
624,3797,80,6123,0.6163000000
625,372,15,9613,0.9620500000
626,9758,27,215,0.9771500000
627,2576,93,7331,0.7377500000
628,7292,84,2624,0.7334000000
629,1469,82,8449,0.8490000000
