walk,n_minus,n_zero,n_plus,m_over_n
821,2930,151,6919,0.6994500000
822,396,53,9551,0.9577500000
823,8448,73,1479,0.8484500000
824,5535,101,4364,0.5585500000
825,115,23,9862,0.9873500000
826,6835,68,3097,0.6869000000
827,6164,63,3773,0.6195500000
828,4765,81,5154,0.5194500000
829,7980,31,1989,0.7995500000
830,2219,239,7542,0.7661500000
831,6501,74,3425,0.6538000000
832,9905,33,62,0.9921500000
833,9997,3,0,0.9998500000
834,6727,122,3151,0.6788000000
835,7307,114,2579,0.7364000000
836,7314,116,2570,0.7372000000
837,1831,101,8068,0.8118500000
838,3795,126,6079,0.6142000000
839,695,77,9228,0.9266500000
840,2109,45,7846,0.7868500000
841,9175,40,785,0.9195000000
842,7865,132,2003,0.7931000000
843,618,76,9306,0.9344000000
844,77,29,9894,0.9908500000
845,6773,154,3073,0.6850000000
846,9948,5,47,0.9950500000
847,1275,217,8508,0.8616500000
848,4474,252,5274,0.5400000000
849,57,15,9928,0.9935500000
850,5577,13,4410,0.5583500000
851,9929,3,68,0.9930500000
852,3526,7,6467,0.6470500000
853,375,53,9572,0.9598500000
854,2349,106,7545,0.7598000000
855,9979,12,9,0.9985000000
856,66,17,9917,0.9925500000
857,8927,55,1018,0.8954500000
858,9070,36,894,0.9088000000
859,5463,89,4448,0.5507500000
860,569,32,9399,0.9415000000
861,581,82,9337,0.9378000000
862,1928,111,7961,0.8016500000
863,7038,66,2896,0.7071000000
864,4082,74,5844,0.5881000000
865,1504,40,8456,0.8476000000
866,263,21,9716,0.9726500000
867,325,23,9652,0.9663500000
868,4720,39,5241,0.5260500000
869,2892,47,7061,0.7084500000
870,1,2,9997,0.9998000000
871,370,12,9618,0.9624000000
872,9298,57,645,0.9326500000
873,9787,22,191,0.9798000000
874,1529,45,8426,0.8448500000
875,4414,83,5503,0.5544500000
876,2077,121,7802,0.7862500000
877,3069,37,6894,0.6912500000
878,5395,185,4420,0.5487500000
879,6885,77,3038,0.6923500000
880,45,11,9944,0.9949500000
881,4782,141,5077,0.5147500000
882,880,9,9111,0.9115500000
883,9974,16,10,0.9982000000
884,866,106,9028,0.9081000000
885,9767,67,166,0.9800500000
886,9056,88,856,0.9100000000
887,24,21,9955,0.9965500000
888,9578,9,413,0.9582500000
889,6357,65,3578,0.6389500000
890,1867,126,8007,0.8070000000
891,6999,78,2923,0.7038000000
892,9609,44,347,0.9631000000
893,3599,185,6216,0.6308500000
894,8026,36,1938,0.8044000000
895,1954,158,7888,0.7967000000
896,0,1,9999,0.9999500000
897,9953,14,33,0.9960000000
898,5697,152,4151,0.5773000000
899,291,68,9641,0.9675000000
900,2499,124,7377,0.7439000000
901,455,69,9476,0.9510500000
902,7056,63,2881,0.7087500000
903,9028,39,933,0.9047500000
904,9078,52,870,0.9104000000
905,3860,66,6074,0.6107000000
906,7213,132,2655,0.7279000000
907,4738,131,5131,0.5196500000
908,13,13,9974,0.9980500000
909,4619,238,5143,0.5262000000
910,6479,53,3468,0.6505500000
911,7870,174,1956,0.7957000000
912,5694,114,4192,0.5751000000
913,87,24,9889,0.9901000000
914,1597,175,8228,0.8315500000
915,1513,161,8326,0.8406500000
916,5365,141,4494,0.5435500000
917,8296,110,1594,0.8351000000
918,1,6,9993,0.9996000000
919,6987,71,2942,0.7022500000
920,8301,75,1624,0.8338500000
921,6336,130,3534,0.6401000000
922,6907,134,2959,0.6974000000
923,4553,104,5343,0.5395000000
924,9768,37,195,0.9786500000
925,1309,147,8544,0.8617500000
926,7940,71,1989,0.7975500000
927,7739,120,2141,0.7799000000
928,8347,66,1587,0.8380000000
929,6164,71,3765,0.6199500000
930,4,8,9988,0.9992000000
931,9742,46,212,0.9765000000
932,7033,140,2827,0.7103000000
933,15,20,9965,0.9975000000
934,10000,0,0,1.0000000000
935,9141,106,753,0.9194000000
936,681,24,9295,0.9307000000
937,3821,145,6034,0.6106500000
938,7456,53,2491,0.7482500000
939,190,45,9765,0.9787500000
940,1724,68,8208,0.8242000000
941,945,23,9032,0.9043500000
942,9715,34,251,0.9732000000
943,9978,11,11,0.9983500000
944,7430,26,2544,0.7443000000
945,653,27,9320,0.9333500000
946,8466,101,1433,0.8516500000
947,3,3,9994,0.9995500000
948,686,20,9294,0.9304000000
949,32,30,9938,0.9953000000
950,4868,141,4991,0.5061500000
951,2222,73,7705,0.7741500000
952,1143,95,8762,0.8809500000
953,7125,69,2806,0.7159500000
954,4479,149,5372,0.5446500000
955,303,37,9660,0.9678500000
956,1,4,9995,0.9997000000
957,71,25,9904,0.9916500000
958,9447,39,514,0.9466500000
959,5931,226,3843,0.6044000000
960,4776,148,5076,0.5150000000
961,5248,84,4668,0.5290000000
962,2574,136,7290,0.7358000000
963,7952,172,1876,0.8038000000
964,6020,124,3856,0.6082000000
965,9868,10,122,0.9873000000
966,9725,45,230,0.9747500000
967,5027,128,4845,0.5091000000
968,9152,40,808,0.9172000000
969,2933,80,6987,0.7027000000
970,4588,159,5253,0.5332500000
971,21,4,9975,0.9977000000
972,8734,58,1208,0.8763000000
973,3988,221,5791,0.5901500000
974,9936,9,55,0.9940500000
975,4712,306,4982,0.5135000000
976,633,39,9328,0.9347500000
977,6866,154,2980,0.6943000000
978,7716,177,2107,0.7804500000
979,6381,53,3566,0.6407500000
980,9500,48,452,0.9524000000
981,3889,51,6060,0.6085500000
982,1280,32,8688,0.8704000000
983,5590,194,4216,0.5687000000
984,8446,47,1507,0.8469500000
985,9960,11,29,0.9965500000
986,1,6,9993,0.9996000000
987,4022,138,5840,0.5909000000
988,4240,146,5614,0.5687000000
989,3590,133,6277,0.6343500000
990,303,61,9636,0.9666500000
991,1080,65,8855,0.8887500000
992,418,45,9537,0.9559500000
993,1618,63,8319,0.8350500000
994,768,15,9217,0.9224500000
995,8175,145,1680,0.8247500000
996,3526,87,6387,0.6430500000
997,8517,51,1432,0.8542500000
998,5013,45,4942,0.5035500000
999,7313,14,2673,0.7320000000
